,response_type,0,1,2
10,Fire,"Fire is the rapid oxidation of a material in the exothermic chemical process of combustion, releasing heat, light, and various reaction products. To learn more about fire safety, you can visit [link_to_resource].","Moto ni mchakato wa kemikali wa kuchomwa kwa haraka wa oksidi ya nyenzo, ukiachilia joto, mwanga, na bidhaa mbalimbali za mmenyuko. Ili kujifunza zaidi kuhusu usalama wa moto, unaweza kutembelea [kiungo_kwa_rasilimali].","Mũgũka ni ũrĩa ũrĩtũkũria ũmũndũ wa kĩmĩa kĩa inĩ ĩnyenzo, kĩmĩa ĩtakũrĩra gũrĩta rĩthĩ, mwĩrĩ, na mĩtugo ithe-inĩ. Aikarĩ kũnjĩa na mũthĩra mũndũrĩ kũriukĩra mũguĩkĩria wa moto, ũngĩnda kwĩĩrwo [kiungo_kwa_rasilimali]."
11,Unsafe_working_conditions,"Unsafe working conditions refer to situations in which workers are exposed to hazards that could lead to illness, injury, or death. Employers have a responsibility to provide a safe work environment. To learn more about unsafe working conditions, you can visit [link_to_resource].","Mazingira hatarishi ya kazi yanahusu hali ambapo wafanyikazi wanakabiliwa na hatari ambazo zinaweza kusababisha magonjwa, majeraha, au kifo. Waajiri wana jukumu la kutoa mazingira salama ya kufanyia kazi. Ili kujifunza zaidi kuhusu mazingira hatarishi ya kazi, unaweza kutembelea [kiungo_kwa_rasilimali].","Mĩhĩĩga cia mĩcĩ ĩhatarĩrĩria-inĩ ũmũndũ wa mĩhĩĩga mũndũ ũmũthĩra ni mĩhĩĩga-inĩ cia kũgũcĩa kũrĩa mũkũrũria, ĩthurĩria, ta ũmwega. Maĩngĩ mũcĩarĩ irĩa waajiri wĩrĩ ni ũtũtĩrwo wa kũigĩa mĩhĩĩga ĩcio ici. Aikarĩ kũnjĩa na mũthĩra mũndũrĩ kũriukĩra mĩhĩĩga cia mĩcĩ ĩhatarĩrĩria, ũngĩnda kwĩĩrwo [kiungo_kwa_rasilimali]."
12,Flooding,"Flooding occurs when water inundates land that is normally dry, causing damage to infrastructure, homes, and the environment. To learn more about flooding prevention and safety measures, you can visit [link_to_resource].","Mafuriko hutokea wakati maji yanapoinyeshwa ardhini ambayo kawaida ni kavu, kusababisha uharibifu wa miundombinu, nyumba, na mazingira. Ili kujifunza zaidi kuhusu kuzuia mafuriko na hatua za usalama, unaweza kutembelea [kiungo_kwa_rasilimali].","Mũciĩcĩte-inĩ cia kũharaĩna nĩ ûkũnĩrĩkĩra nĩa ûrĩa maiĩkaga mĩĩrĩ cia thĩra icikĩrĩwo kũrĩa nĩ arĩa, cia cũri, nĩ nĩ mwĩĩrĩ. Aikarĩ kũnjĩa na mũthĩra mũndũrĩ kũriukĩra kũharaĩna, ũngĩnda kwĩĩrwo [kiungo_kwa_rasilimali]."
13,Crop_disease,"Crop disease refers to the occurrence of infections or disorders that affect plants and reduce crop yield. It can lead to significant economic losses and food insecurity. To learn more about crop disease management, you can visit [link_to_resource].","Ugonjwa wa mazao unahusu kuenea kwa maambukizo au magonjwa yanayoathiri mimea na kupunguza mazao. Inaweza kusababisha hasara kubwa ya kiuchumi na ukosefu wa uhakika wa chakula. Ili kujifunza zaidi kuhusu usimamizi wa ugonjwa wa mazao, unaweza kutembelea [kiungo_kwa_rasilimali].","Ñambí icugúkíra cía mawíca gĩtacúkíríri cía kúgíaríra na cía nyoigíra cíandú cíana, ña kaú rúgúrĩra mawíca na cía gúrao na gíríra. Icía cína ĩríakaríria kúría rúkúrú rwa mĩnandĩ mĩkũcía na rúkũrú rwa ñduka-inĩ. Aikarí kúrĩriarĩria mũgĩthi wa mawíca, ûrĩa cĩcĩarĩĩria na mũndũrĩ wa cĩcĩ, ûngínda kũĩkúkúra [kiungo_kwa_rasilimali]."
14,Dirty_Water,"Dirty water is water that is contaminated with impurities or pollutants, making it unsafe for drinking or recreational use. It can cause health problems and environmental damage. To learn more about dirty water management, you can visit [link_to_resource].","Maji machafu ni maji yaliyoathiriwa na uchafu au vitu vinavyochafua, ikifanya kuwa salama kwa kunywa au matumizi ya burudani. Inaweza kusababisha matatizo ya kiafya na uharibifu wa mazingira. Ili kujifunza zaidi kuhusu usimamizi wa maji machafu, unaweza kutembelea [kiungo_kwa_rasilimali].","Maita magūtū ma mĩtuĩ maĩa magūtū cĩarĩ maĩkĩrĩtwa nĩ ĩmũriĩ wa maita mũndũ wa mĩtuĩ-inĩ ma nĩa magūtū ma magatĩ kĩciarĩ cĩĩra, ĩkĩana rũgũkĩrĩra ĩrĩa magūtū ma kũngĩra cĩarĩo, cĩrĩ na cĩrĩ. Ĩrĩa cĩĩ na ĩrĩa ĩkĩa-ĩtũkĩa ĩmũrĩ wa magūtū ma mĩtuĩ, ûrĩa cĩcĩarĩĩria na mũndũrĩ wa magūtū magūtū, ûngĩnda kũĩkũrĩra [kiungo_kwa_rasilimali]."
15,Open_Quarry,"An open quarry is an excavation site where stone, rock, or minerals are extracted from the earth's surface. It can pose safety hazards and environmental concerns. To learn more about open quarry management, you can visit [link_to_resource].","Quarry wazi ni eneo la uchimbaji ambapo mawe, miamba, au madini hutolewa kutoka uso wa dunia. Inaweza kuleta hatari za usalama na maswala ya mazingira. Ili kujifunza zaidi kuhusu usimamizi wa uchimbaji wazi, unaweza kutembelea [kiungo_kwa_rasilimali].","Quarry itirĩa ndĩrĩ ĩrĩa ĩngĩnga kũherehĩa magĩthĩka ûciarĩ ûndũ wa îtũmĩ. Ĩĩ rĩgacĩra njũkĩra rĩa kũrĩ na rĩĩmbĩra rĩa ûkĩrĩna. Ĩrĩa cĩĩ na ĩrĩa ĩkĩa-ĩtũkĩa ĩmũrĩ wa quarry, ûrĩa cĩcĩarĩĩria na mũndũrĩ wa quarry, ûngĩnda kũĩkũrĩra [kiungo_kwa_rasilimali]."
16,Soil_Erosion,"Soil erosion is the process by which soil is removed or washed away by natural forces such as wind, water, or ice. It can lead to loss of fertile soil, land degradation, and environmental problems. To learn more about soil erosion prevention and conservation, you can visit [link_to_resource].","Ufisadi wa udongo ni mchakato ambao udongo hutokea au huoshwa na nguvu za asili kama vile upepo, maji, au barafu. Inaweza kusababisha upotezaji wa udongo wenye rutuba, uharibifu wa ardhi, na matatizo ya mazingira. Ili kujifunza zaidi kuhusu kuzuia na kuhifadhi udongo, unaweza kutembelea [kiungo_kwa_rasilimali].","Mĩrũmwo wa mũtembwo wĩrĩa ĩrĩa ĩthũmbĩra ûrĩĩ kũgũkũtharĩwa nĩ ûrĩa îrĩthũkĩthĩwa na magũtha înothekĩire ûrĩa mũrĩrĩ, magũtĩ, nĩ maûri. Ĩnaĩ gĩrĩa njũkĩra rĩa ûcĩarĩ, rĩa ûhũndĩro-inĩ, nĩ nĩ cĩcĩ. Ĩrĩa cĩĩ na ĩrĩa ĩkĩa-ĩtũkĩa ĩmũrĩ wa mũrũmwo wa mũtembwo, ûrĩa cĩcĩarĩĩria na mũndũrĩ wa mũrũmwo wa mũtembwo, ûngĩnda kũĩkũrĩra [kiungo_kwa_rasilimali]."
17,Falling_Guard_Rail,"A falling guard rail refers to a protective barrier installed along roads or bridges to prevent vehicles from veering off the roadway. When guard rails fall, it can pose safety risks to motorists and pedestrians. To learn more about falling guard rail maintenance and safety measures, you can visit [link_to_resource].","Lango linaloporomoka linahusu kizuizi cha kinga kilichowekwa kando ya barabara au madaraja ili kuzuia magari kutokea kwenye barabara. Wakati wa kuporomoka kwa kinga za kinga, inaweza kuleta hatari za usalama kwa madereva wa magari na watembea kwa miguu. Ili kujifunza zaidi kuhusu matengenezo ya kinga za kinga na hatua za usalama, unaweza kutembelea [kiungo_kwa_rasilimali].","Gĩathĩ ka rĩcĩa kĩigĩa thĩna kũtĩ kaahurĩrwo kũrĩa mũkirĩ ngĩnda-inĩ ûkũtũkia-inĩ kũonagia mĩandaro. Kũrĩ mũgĩthi wa kũhaara rĩcĩa kĩigĩa thĩna, nĩ gũrĩtana ĩtũkĩa cia rũracĩa kũrĩa wamũrĩra mĩgũtĩ ĩgacĩagĩra. Aikarĩ kũnjĩa na"
18,Unsafe_side_walk,"An unsafe sidewalk refers to a pedestrian walkway that is hazardous or poses risks to pedestrians due to cracks, uneven surfaces, or obstructions. It can lead to accidents and injuries. To learn more about maintaining safe sidewalks and pedestrian walkways, you can visit [link_to_resource].","Ugunda usio salama unahusu njia ya kutembea kwa watembea kwa miguu ambayo ni hatari au inaleta hatari kwa watembea kwa miguu kutokana na nyufa, uso usio sawa, au vikwazo. Inaweza kusababisha ajali na majeraha. Ili kujifunza zaidi kuhusu kudumisha njia salama za kutembea na njia za kutembea kwa watembea kwa miguu, unaweza kutembelea [kiungo_kwa_rasilimali].","Gĩtuũra cia kũhitĩra ĩmenya gĩtuũra-inĩ kĩgĩkũjana wĩndũ wa wĩtembĩria kũndũ kwa ûcĩarĩ gĩcena-inĩ, cio ni cioûkĩa wĩtembĩria wĩndũ wa wĩtembĩria kũroinĩkĩra-inĩ nĩ makĩrĩ, mĩgũthĩ, cio ni magũrĩra. Ĩnaĩ cĩĩ na ĩrĩa ĩkĩa-ĩtũkĩa ĩmũrĩ wa wĩrĩa wa kũkĩhĩrĩra gĩtuũra-inĩ na ûcĩarĩ wĩndũ wa wĩtembĩria, ûrĩa cĩcĩarĩĩria na mũndũrĩ wa mũgĩthi wa wĩtembĩria, ûngĩnda kũĩkũrĩra [kiungo_kwa_rasilimali]."
19,Open_drain,"An open drain is a channel or trench that carries wastewater or stormwater and is not covered. Open drains pose health risks as they can become breeding grounds for disease-carrying vectors and contaminants. To learn more about managing open drains and preventing health hazards, you can visit [link_to_resource].","Mfereji wazi ni mfereji au mtaro unaobeba maji taka au maji ya dhoruba na haufunikwa. Mifereji wazi inaweza kuwa hatari kwa afya kwani inaweza kuwa mahali pa kuzaliana kwa vekta wanaobeba magonjwa na vitu vichafu. Ili kujifunza zaidi kuhusu kudhibiti mifereji wazi na kuzuia hatari za kiafya, unaweza kutembelea [kiungo_kwa_rasilimali].","Mũtaro wacere wĩrĩ wĩrĩa wĩrĩ ndĩrĩĩ ndĩakĩa atĩa ĩgĩa cia ĩtũndũ wa mũcĩĩka-inĩ nĩ gũcĩagĩrĩka. Mũcĩĩka-inĩ wa cĩmũndũ wa gũcĩagĩrĩka wa mũtaro wacere ũnĩ-inĩ wa ĩrĩa mũrĩ mũndũrĩ wa mũgĩthi wa magũci na ĩgĩa kĩuha. Ĩnaĩ cĩĩ na ĩrĩa ĩkĩa-ĩtũkĩa ĩmenya mũtaro wacere na kũgũcĩarĩria-inĩ matariĩ ma gũcĩĩka, ûrĩa cĩcĩarĩĩria na mũndũrĩ wa mũgĩthi wa magũci, ûngĩnda kũĩkũrĩra [kiungo_kwa_rasilimali]."
20,Fallen_tree,"A fallen tree refers to a tree that has been uprooted or fallen due to natural events like storms, strong winds, or floods. Fallen trees can obstruct roads, cause property damage, and pose safety hazards. To learn more about handling fallen trees and ensuring safety, you can visit [link_to_resource].","Mti ulianguka unahusu mti ambao umekuwa umevunjwa au kuanguka kutokana na matukio ya asili kama vile dhoruba, upepo mkali, au mafuriko. Mitihani iliyoporomoka inaweza kuzuia barabara, kusababisha uharibifu wa mali, na kuleta hatari za usalama. Ili kujifunza zaidi kuhusu kushughulikia mitihani iliyoporomoka na kuhakikisha usalama, unaweza kutembelea [kiungo_kwa_rasilimali].","Mĩrĩ ithĩna ĩmenya mĩrĩ ĩhenyaga kũkĩra nĩa rĩa atĩa kũhĩnyĩka wĩrĩa, arĩa kũhenyĩka kũrĩ matukĩa ĩgĩrĩa irĩgũta cia mũcĩĩka-inĩ kĩgĩrĩ-inĩ atĩa mwirũ cio, mũthaka, mbura na rũthũri. Mĩrĩ ĩmenya mĩrĩ ithĩna ĩndĩcĩarĩra magĩcĩ na gũhĩnyĩka kũrĩ kũigana gũcĩagĩrĩka. Ĩnaĩ cĩĩ na ĩrĩa ĩkĩa-ĩtũkĩa ĩmenya mĩrĩ ĩhenyaga na kũhĩnyĩka-inĩ usalama, ûrĩa cĩcĩarĩĩria mũndũrĩ wa mũgĩthi wa magũci, ûngĩnda kũĩkũrĩra [kiungo_kwa_rasilimali]."
21,Afforestation,"Afforestation is the process of planting trees in an area that was previously devoid of forest cover. It helps mitigate climate change, prevent soil erosion, and provide habitat for wildlife. To learn more about afforestation and its benefits, you can visit [link_to_resource].","Umea wa miti ni mchakato wa kupanda miti katika eneo ambalo hapo awali halikuwa na kifuniko cha msitu. Inasaidia kupunguza mabadiliko ya hali ya hewa, kuzuia mmomonyoko wa udongo, na kutoa makazi kwa wanyamapori. Ili kujifunza zaidi kuhusu upandaji wa miti na faida zake, unaweza kutembelea [kiungo_kwa_rasilimali].","Kũrĩka mĩĩndĩkia ĩkĩa rĩa cia mĩtĩ ĩmenya kũrĩtia mĩĩ ngĩtĩ nĩara rĩa cia ĩtũndũ cio thĩinĩ wa mĩcĩĩra. Ûrĩa cĩcĩarĩĩria na cia-inĩ cia-inĩ cĩũkagĩra-inĩ, ûngĩnda kũnĩĩrĩra mĩndũrĩ wa kũrĩka mĩĩndĩkia na kĩhererio cia-inĩ, ûrĩa cĩcĩarĩĩria, ûngĩnda kũnjĩa [kiungo_kwa_rasilimali]."
22,Safe_Bridge,"A safe bridge refers to a structure built over a body of water, valley, or road to provide passage for vehicles, pedestrians, and livestock. Safe bridges ensure safe transportation and connectivity between areas. To learn more about safe bridges and their construction, you can visit [link_to_resource].","Daraja salama linahusu muundo uliojengwa juu ya mwili wa maji, bonde, au barabara ili kutoa njia kwa magari, watembea kwa miguu, na mifugo. Madaraja salama hufanya usafiri na mawasiliano salama kati ya maeneo. Ili kujifunza zaidi kuhusu madaraja salama na ujenzi wao, unaweza kutembelea [kiungo_kwa_rasilimali].","Gũkara kũrĩtu gũmũgĩthi wĩndũ wa ĩtuũ ĩwĩ, kĩhĩtĩ ĩtherĩa, mĩhĩĩga-inĩ nĩrĩa ĩtĩnaĩ maîtũre, nĩrĩa mĩrĩa-inĩ, nĩara mĩgũa cia mĩcĩĩra. Madaraja maîtũre gũkara gũtigĩkana mawendwo na mawendwo-inĩ ma ngĩtĩ. Ûrĩa cĩcĩarĩĩria maîtũre-inĩ na mĩtheketha yake, ûngĩnda kũĩkũrĩra [kiungo_kwa_rasilimali]."
23,Bounty_harvest,"Bounty harvest refers to the fruitful and abundant yield obtained from agricultural or natural resources. It signifies a successful and productive outcome of farming or resource extraction activities. To learn more about bounty harvest and its significance, you can visit [link_to_resource].","Kuvuna kwa wingi kunahusu mavuno mengi na ya kutosha yanayopatikana kutoka kwa rasilimali za kilimo au asili. Inaashiria matokeo mazuri na ya tija ya shughuli za kilimo au uchimbaji wa rasilimali. Ili kujifunza zaidi kuhusu kuvuna kwa wingi na umuhimu wake, unaweza kutembelea [kiungo_kwa_rasilimali].","Gũîgĩkanĩra rĩaĩa rĩa mbeca-inĩ rĩmera rĩa muhĩire na ũndũ wa rĩgũ rĩa njamba na mũtũrĩ. Ĩ rĩta cia gũmahĩra cia mwĩrĩri kĩhîĩ. Ûrĩa cĩcĩarĩĩria rĩaĩa mbeca na ĩtũĩ yaĩ, ûngĩnda kũnjĩa [kiungo_kwa_rasilimali]."
24,Overgrown_bushes,"Overgrown bushes refer to bushes or shrubs that have grown excessively and are not properly maintained. They can obstruct pathways, impede visibility, and pose fire hazards. To learn more about overgrown bushes and how to manage them, you can visit [link_to_resource].","Miti yenye kung'aa husitaja miti au vichaka ambavyo vimekua kupita kiasi na havijasimamiwa vizuri. Vinaweza kuzuia njia, kuzuia mtazamo, na kuleta hatari za moto. Ili kujifunza zaidi kuhusu miti yenye kung'aa na jinsi ya kuvisimamia, unaweza kutembelea [kiungo_kwa_rasilimali].","Mĩrĩga mĩrĩ-inĩ ĩhoya kũîgîkanĩrwo na mĩrĩga na ĩgũmĩ. Cĩmĩacĩra cia kũhonanĩra njĩra-inĩ, cĩkĩrĩa kũonanĩra, nĩkĩngĩ cia fĩrĩ. Ûrĩa cĩcĩarĩĩria mĩrĩga mĩrĩ-inĩ na mũgĩthi wao, ûngĩnda kũnjĩa [kiungo_kwa_rasilimali]."
25,Wildlife_invasion,"Wildlife invasion refers to the encroachment of wild animals into human settlements or habitats, often resulting in conflicts between humans and wildlife. It can pose risks to both humans and animals and may lead to property damage or injuries. To learn more about wildlife invasion and its impact, you can visit [link_to_resource].","Uvamizi wa wanyamapori unahusu kuingilia kati kwa wanyama pori katika makazi au mazingira ya binadamu, mara nyingi ikisababisha migogoro kati ya binadamu na wanyamapori. Inaweza kuleta hatari kwa binadamu na wanyama na inaweza kusababisha uharibifu wa mali au majeraha. Ili kujifunza zaidi kuhusu uvamizi wa wanyamapori na athari zake, unaweza kutembelea [kiungo_kwa_rasilimali].","Gũcaraga marũkũ-inĩ nĩ gukũka wanyamakĩa ciagĩte ka-inĩ mĩhĩĩga cia-inĩ nĩ cĩathĩri cia mwĩrĩ wĩna nĩ wĩa mũrĩa-inĩ. Ĩthĩ nĩmũrĩkanĩrie ũrĩa ũnũ, nĩmũrĩkĩrĩirie thĩnje-inĩ na wanyamakĩa na inĩ nĩmũcĩaraga mĩhĩĩga na wĩnũ. Aikarĩ kũnjĩa na nũngi mũthĩra kũgũcaraga marũkũ na mũthĩĩ wa ĩndũ ĩthĩa, ûngĩnda kũnjĩa [kiungo_kwa_rasilimali]."
